ric,company_name,name_bhrc,url_bhrc,company_id
RACE.MI,Ferrari NV,Ferrari,https://www.business-humanrights.org/en/companies/ferrari/,760536
RAND.AS,Randstad NV,Randstad,https://www.business-humanrights.org/en/companies/randstad/,759113
RBIV.VI,Raiffeisen Bank International AG,Raiffeisen Zentralbank (RZB Group),https://www.business-humanrights.org/en/companies/raiffeisen-zentralbank-rzb-group/,759099
REL.L,RELX PLC,RELX Group plc,https://www.business-humanrights.org/en/companies/relx-group-plc/,903295
RENA.PA,Renault SA,Renault,https://www.business-humanrights.org/en/companies/renault/,759032
REP.MC,Repsol SA,Repsol,https://www.business-humanrights.org/en/companies/repsol/,760869
RHMG.DE,Rheinmetall AG,Rheinmetall,https://www.business-humanrights.org/en/companies/rheinmetall/,759042
RIO.L,Rio Tinto PLC,Rio Tinto,https://www.business-humanrights.org/en/companies/rio-tinto/,758975
RKT.L,Reckitt Benckiser Group PLC,Reckitt Benckiser,https://www.business-humanrights.org/en/companies/reckitt-benckiser/,759048
RMV.L,Rightmove PLC,Rightmove PLC,https://www.business-humanrights.org/en/companies/rightmove-plc/,902983
ROCKb.CO,Rockwool A/S,Rockwool,https://www.business-humanrights.org/en/companies/rockwool/,764921
ROG.S,Roche Holding AG,Roche,https://www.business-humanrights.org/en/companies/roche/,758976
ROO.L,Deliveroo PLC,Deliveroo,https://www.business-humanrights.org/en/companies/deliveroo/,762087
ROR.L,Rotork PLC,Rotork plc,https://www.business-humanrights.org/en/companies/rotork-plc/,903386
RR.L,Rolls-Royce Holdings PLC,Rolls-Royce plc,https://www.business-humanrights.org/en/companies/rolls-royce-plc/,759054
RTO.L,Rentokil Initial PLC,Rentokil Initial,https://www.business-humanrights.org/en/companies/rentokil-initial/,759076
RWEG.DE,RWE AG,RWE,https://www.business-humanrights.org/en/companies/rwe/,758978
RYA.I,Ryanair Holdings PLC,Ryanair,https://www.business-humanrights.org/en/companies/ryanair/,758995
SAABb.ST,Saab AB,Saab Group,https://www.business-humanrights.org/en/companies/saab-group/,759501
SABE.MC,Banco de Sabadell SA,Banco Sabadell,https://www.business-humanrights.org/en/companies/banco-sabadell/,756152
SAF.PA,Safran SA,Safran,https://www.business-humanrights.org/en/companies/safran/,759498
SAMPO.HE,Sampo Oyj,Sampo Group,https://www.business-humanrights.org/en/companies/sampo-group/,764381
SAN.MC,Banco Santander SA,Santander,https://www.business-humanrights.org/en/companies/santander/,759191
SAND.ST,Sandvik AB,Sandvik,https://www.business-humanrights.org/en/companies/sandvik/,759477
SAPG.DE,SAP SE,SAP SE,https://www.business-humanrights.org/en/companies/sap/,759401
SASY.PA,Sanofi SA,Sanofi,https://www.business-humanrights.org/en/companies/sanofi/,759308
SBMO.AS,SBM Offshore NV,SBM Offshore,https://www.business-humanrights.org/en/companies/sbm-offshore/,761123
SBRY.L,J Sainsbury PLC,Sainsbury's,https://www.business-humanrights.org/en/companies/sainsburys/,759274
SCAb.ST,Svenska Cellulosa Aktiebolaget SCA,SCA,https://www.business-humanrights.org/en/companies/sca/,759213
SCHN.PA,Schneider Electric SE,Schneider Electric S.E.,https://www.business-humanrights.org/en/companies/schneider-electric-se/,903016
SCHP.S,Schindler Holding AG,Schindler,https://www.business-humanrights.org/en/companies/schindler/,759339
SCMN.S,Swisscom AG,Swisscom,https://www.business-humanrights.org/en/companies/swisscom/,763968
SCOR.PA,Scor SE,SCOR,https://www.business-humanrights.org/en/companies/scor/,759548
SCTS.L,Softcat PLC,Softcat plc,https://www.business-humanrights.org/en/companies/softcat-plc/,900770
SDFGn.DE,K+S AG,K+S Aktiengesellschaft,https://www.business-humanrights.org/en/companies/ks-aktiengesellschaft/,901043
SDR.L,Schroders PLC,Schroders,https://www.business-humanrights.org/en/companies/schroders/,759190
SEBa.ST,Skandinaviska Enskilda Banken AB,SEB,https://www.business-humanrights.org/en/companies/seb/,759226
SEBF.PA,SEB SA,Groupe Seb,https://www.business-humanrights.org/en/companies/seb-2/,972884
SECUb.ST,Securitas AB,Securitas AB Group,https://www.business-humanrights.org/en/companies/securitas-ab-group/,759472
SGE.L,Sage Group PLC,Sage,https://www.business-humanrights.org/en/companies/sage/,759418
SGEF.PA,Vinci SA,Vinci,https://www.business-humanrights.org/en/companies/vinci/,759926
SGOB.PA,Compagnie de Saint Gobain SA,Saint-Gobain,https://www.business-humanrights.org/en/companies/saint-gobain/,759180
SGRO.L,SEGRO PLC,Segro plc,https://www.business-humanrights.org/en/companies/segro-plc/,903279
SGSN.S,SGS SA,SGS,https://www.business-humanrights.org/en/companies/sgs/,764803
SHBa.ST,Svenska Handelsbanken AB,Handelsbanken,https://www.business-humanrights.org/en/companies/handelsbanken/,762400
SHCS.L,Shaftesbury Capital PLC,Shaftesbury PLC,https://www.business-humanrights.org/en/companies/shaftesbury-plc/,901999
SHEL.L,Shell PLC,Shell plc,https://www.business-humanrights.org/en/companies/shell-plc/,759139
SIEGn.DE,Siemens AG,Siemens,https://www.business-humanrights.org/en/companies/siemens/,759140
SIKA.S,Sika AG,Sika,https://www.business-humanrights.org/en/companies/sika/,764783
SKAb.ST,Skanska AB,Skanska,https://www.business-humanrights.org/en/companies/skanska/,759211
SKFb.ST,SKF AB,SKF,https://www.business-humanrights.org/en/companies/skf/,759520
SMIN.L,Smiths Group PLC,Smiths Group,https://www.business-humanrights.org/en/companies/smiths-group/,759270
SN.L,Smith & Nephew PLC,Smith & Nephew,https://www.business-humanrights.org/en/companies/smith-nephew/,759459
SOGN.PA,Societe Generale SA,Société Générale,https://www.business-humanrights.org/en/companies/société-générale/,759222
